Gene,ENS ref,refseq match,gene symbol,# nucleotides,log likelihood dN/dS >= 0,log likelihood dN/dS=1,p-value for likelihood ratio test of dN/dS=1 versus dN/dS > 1.  Test not performed for data genes with 2 mutations or less or less than 50 codons. p=1 indicates that dN/dS < 1.,included in restrictive data set?
HC18941,ENSG00000100918,NM_005132,REC8,1311,-1789.37,-1790.09,1,yes
HC18942,ENSG00000100445,NM_020195,HCDI,876,-1196.08,-1196.94,1,yes
HC18943,ENSG00000100897,NM_025230,WDR23,1410,-1925.33,-1930.35,1,yes
HC18944,ENSG00000129467,NM_139247,,1965,-2656.69,-2658.32,1,yes
HC18945,ENSG00000100938,NM_016576,GMPR2,804,-1094.15,-1094.35,,yes
HC18946,ENSG00000092295,NM_000359,TGM1,1785,-2388.43,-2393.19,1,yes
HC18947,ENSG00000174132,NM_198507,,210,-267.355,-267.355,,yes
HC18948,ENSG00000163110,NM_006457,LIM,1413,-1990.08,-1990.1,0.477943,yes
HC18949,ENSG00000111252,NM_005475,LNK,666,-927.228,-927.295,0.519298,yes
HC18950,ENSG00000111245,NM_000432,MYL2,384,-513.381,-514.4,1,yes
HC18951,,,ALDH2,1584,-2205.61,-2208.86,1,yes
HC18952,ENSG00000182995,,FLJ32356,234,-292.818,-296.615,,yes
HC18953,ENSG00000089234,NM_006768,BRAP,531,-707.459,-708.787,,yes
HC18954,ENSG00000095139,NM_001655,ARCN1,1146,-1546.46,-1547.7,,yes
HC18955,ENSG00000118094,NM_007180,TREH,1155,-1558.42,-1558.92,1,yes
HC18956,ENSG00000167286,NM_000732,CD3D,486,-689.385,-689.566,0.186447,yes
HC18957,ENSG00000110344,NM_004788,UBE4A,2565,-3490.19,-3490.72,1,yes
HC18958,,,FLJ21827,243,-324.147,-324.147,,yes
HC18959,ENSG00000019144,NM_015157,,2310,-3088.79,-3092.9,1,yes
HC18960,ENSG00000149582,NM_032780,FLJ14399,945,-1285.46,-1286.68,1,yes
HC18961,,,SNAP25,447,-591.29,-593.777,,yes
HC18962,ENSG00000125863,"NM_018848,NM_170784",MKKS,1095,-1544.19,-1544.63,1,yes
HC18963,ENSG00000170312,NM_001786,CDC2,234,-306.872,-306.872,,yes
HC18964,ENSG00000134202,NM_000849,GSTM3,492,-674.193,-675.11,1,yes
HC18965,ENSG00000134201,NM_000851,GSTM5,453,-629.674,-630.466,1,yes
HC18966,,,AMPD2,1830,-2354.9,-2355.32,,yes
HC18967,ENSG00000184371,"NM_000757,NM_172212",CSF1,939,-1305.66,-1307.1,1,yes
HC18968,,,KCNC4,1431,-1891.38,-1897.53,1,yes
HC18969,ENSG00000156150,NM_006492,ALX3,714,-973.299,-977.83,1,yes
HC18970,ENSG00000168679,NM_004696,SLC16A4,1200,-1631.44,-1631.65,,yes
HC18971,ENSG00000134248,NM_006402,HBXIP,264,-364.564,-366.953,,yes
HC18972,ENSG00000065135,NM_006496,GNAI3,810,-1089.77,-1093.76,1,yes
HC18973,,,EPS8L3,942,-1280.06,-1280.26,1,yes
HC18974,ENSG00000134183,NM_005272,GNAT2,738,-972.167,-972.167,,yes
HC18975,ENSG00000143093,,,1047,-1411.2,-1416.33,1,yes
HC18976,,,,1581,-2055.16,-2060.97,1,no
HC18977,ENSG00000187391,NM_012301,,1536,-2082.17,-2083.38,,yes
HC18978,ENSG00000175325,NM_006261,PROP1,333,-456.917,-463.371,1,yes
HC18979,,,,243,-335.346,-336.186,0.32892,no
HC18980,,,GCG,420,-564.945,-566.228,,yes
HC18981,ENSG00000115267,NM_022168,MDA5,2862,-3850.59,-3851.5,1,yes
HC18982,ENSG00000144290,NM_022058,SLC4A10,2601,-3541.59,-3543.53,1,yes
HC18983,ENSG00000113742,NM_030627,,1824,-2499.25,-2505.67,1,yes
HC18984,ENSG00000113739,NM_003714,STC2,612,-815.536,-817.011,1,yes
HC18985,ENSG00000048152,NM_002082,GPRK6,1299,-1712.14,-1715.15,1,yes
HC18986,ENSG00000175416,NM_007097,CLTB,330,-447.864,-448.856,1,yes
HC18987,ENSG00000184845,NM_000794,DRD1,762,-1038.3,-1040.85,,yes
HC18988,ENSG00000145920,NM_006650,CPLX2,195,-230.424,-232.367,,yes
HC18989,,,CDKN2C,432,-552.941,-552.941,,no
HC18990,ENSG00000078618,NM_002525,NRD1,2721,-3723.15,-3736.12,1,yes
HC18991,ENSG00000085832,NM_001981,EPS15,1968,-2686.97,-2688.64,1,yes
HC18992,ENSG00000085831,XM_375729,,1314,-1754.1,-1759.15,1,no
HC18993,ENSG00000114503,NM_007362,NCBP2,306,-416.236,-419.771,1,yes
HC18994,ENSG00000145194,NM_014693,ECE2,1686,-2273.07,-2274.48,1,yes
HC18995,,,FLJ20522,1317,-1816.11,-1826.96,1,yes
HC18996,ENSG00000161202,NM_004423,DVL3,1251,-1653.53,-1653.53,,yes
HC18997,ENSG00000096433,NM_002224,ITPR3,5886,-7666.81,-7710.15,1,yes
HC18998,ENSG00000111960,NM_080686,BAT2,4524,-6178.99,-6180.47,1,yes
HC18999,ENSG00000115386,NM_002909,REG1A,495,-672.196,-672.488,,yes
HC19000,ENSG00000172023,NM_006507,REG1B,324,-445.656,-445.873,,yes
HC19001,ENSG00000143954,NM_198448,,99,,,,yes
HC19002,ENSG00000140943,NM_003791,MBTPS1,2925,-4054.79,-4064.58,1,yes
HC19003,ENSG00000166530,NM_001537,HSBP1,63,,,,yes
HC19004,ENSG00000103154,NM_019065,NECAB2,693,-971.3,-974.756,1,yes
HC19005,,,,1668,-2326.39,-2327.52,1,yes
HC19006,ENSG00000103160,NM_031463,LOC83693,882,-1240.63,-1243.25,1,yes
HC19007,ENSG00000103150,NM_012213,MLYCD,570,-753.7,-755.237,,yes
HC19008,ENSG00000140961,NM_013370,OKL38,402,-498.165,-502.08,,yes
HC19009,ENSG00000140955,NM_139174,LOC161931,747,-1050.97,-1056.4,1,yes
HC19010,ENSG00000166558,XM_085347,,678,-893.273,-893.948,1,no
HC19011,ENSG00000130943,NM_006071,PKDREJ,4470,-6206.97,-6207.83,1,yes
HC19012,ENSG00000175166,NM_002808,PSMD2,2409,-3264.44,-3271.59,1,yes
HC19013,ENSG00000110921,NM_000431,MVK,1017,-1381.07,-1382.91,1,yes
HC19014,ENSG00000139433,NM_016433,GLTP,516,-664.787,-668.276,,yes
HC19015,ENSG00000110906,NM_031954,MSTP028,717,-985.984,-995.315,1,yes
HC19016,ENSG00000111199,NM_021625,TRPV4,1923,-2525.94,-2531.21,1,yes
HC19017,,XM_062735,,441,-596.974,-601.627,1,yes
HC19018,ENSG00000076555,,ACACB,5667,-7690.77,-7709.52,1,yes
HC19019,,,,2775,-3833.75,-3836.81,1,yes
HC19020,ENSG00000139428,NM_052845,MMAB,435,-614.811,-615.532,1,yes
HC19021,,,MGC10854,48,,,,yes
HC19022,,"NM_001001655,XM_058581",,378,-520.131,-522.67,,yes
HC19023,,,ENDOGL1,1059,-1457,-1457.01,1,yes
HC19024,ENSG00000123609,NM_004688,NMI,636,-840.485,-840.802,,yes
HC19025,ENSG00000089225,"NM_000192,NM_181486",TBX5,1287,-1776.4,-1785.49,1,yes
HC19026,ENSG00000135111,"NM_005996,NM_016569",TBX3,1488,-2008.43,-2008.97,1,yes
HC19027,ENSG00000163930,NM_004656,BAP1,1872,-2522.08,-2529.14,1,yes
HC19028,ENSG00000130703,NM_014835,OSBPL2,1299,-1763.21,-1767.8,1,yes
HC19029,ENSG00000109163,NM_000406,GNRHR,933,-1300.73,-1303.1,1,yes
HC19030,ENSG00000035720,NM_012108,BRDG1,756,-1026.91,-1031.96,1,yes
HC19031,ENSG00000145241,NM_001812,CENPC1,852,-1139.36,-1139.38,0.520414,yes
HC19032,ENSG00000151914,NM_001723,BPAG1,6081,-8219.47,-8223.99,1,yes
HC19033,ENSG00000135108,"NM_015002,NM_033624",FBXO21,1059,-1420.88,-1421.83,1,yes
HC19034,ENSG00000174989,"NM_012174,NM_153348",FBXW8,807,-1106.62,-1107.67,1,yes
HC19035,ENSG00000089250,NM_000620,NOS1,1095,-1483.49,-1489.59,1,yes
HC19036,ENSG00000099814,XM_208766,,2799,-3744.18,-3759.16,1,no
HC19037,ENSG00000119335,NM_003011,SET,609,-794.131,-795.416,,no
HC19038,ENSG00000115363,NM_032181,FLJ13391,450,-606.848,-613.327,1,yes
HC19039,,,,288,-405.749,-407.819,1,no
HC19040,ENSG00000178209,"NM_000445,NM_201378,NM_201379,NM_201380,NM_201381,NM_201382,NM_201383,NM_201384",PLEC1,4947,-6246.6,-6290.72,1,yes
HC19041,ENSG00000135094,NM_006843,SDS,417,-546.698,-548.313,,yes
HC19042,ENSG00000111344,NM_004658,RASAL1,1755,-2326.53,-2328.74,1,yes
HC19043,ENSG00000111331,NM_006187,OAS3,315,-487.808,-491.512,1,yes
HC19044,ENSG00000089169,NM_014954,RPH3A,1113,-1513.1,-1517.07,1,yes
HC19045,ENSG00000123064,NM_024072,,1494,-1949.66,-1957.03,1,yes
HC19046,ENSG00000089116,NM_022363,LHX5,480,-616.456,-620.553,,yes
HC19047,ENSG00000139410,NM_138432,SDS-RS1,540,-719.499,-721.445,1,yes
HC19048,ENSG00000089060,NM_024959,FLJ22233,1131,-1533.59,-1537.74,1,yes
HC19049,ENSG00000186815,NM_017901,TPCN1,726,-965.918,-973.436,1,yes
HC19050,ENSG00000139405,NM_032848,FLJ14827,744,-1024.84,-1024.86,1,yes
HC19051,ENSG00000078902,NM_019009,TOLLIP,486,-616.676,-616.676,,yes
HC19052,ENSG00000049167,NM_000082,CKN1,984,-1321.89,-1324.79,,yes
HC19053,,XM_371740,,480,-655.793,-655.997,,no
HC19054,,NM_018369,XTP1,1308,-1829.18,-1830.31,1,yes
HC19055,,,,294,-393.091,-394.358,,yes
HC19056,ENSG00000188725,,,201,-266.096,-266.096,,no
HC19057,,NM_016381,TREX1,756,-1048.75,-1052.08,1,yes
HC19058,ENSG00000169710,NM_004104,FASN,4431,-5828.24,-5868.25,1,yes
HC19059,ENSG00000134287,NM_001659,ARF3,426,-552.536,-552.536,,yes
HC19060,ENSG00000013725,NM_006725,CD6,606,-817.866,-820.809,,yes
HC19061,ENSG00000110107,NM_014502,GPR44,384,-513.842,-516.442,,yes
HC19062,ENSG00000149534,NM_000139,MS4A2,594,-861.837,-862.121,1,yes
HC19063,ENSG00000006118,"NM_017870,NM_178031",GBP,1056,-1400.57,-1404.55,1,yes
HC19064,ENSG00000110446,NM_016582,PHT2,924,-1256.99,-1258.77,1,yes
HC19065,ENSG00000110108,NM_024092,MGC5508,606,-814.785,-814.785,1,yes
HC19066,ENSG00000110104,NM_024098,MGC2574,1065,-1437.25,-1440.93,1,yes
HC19067,ENSG00000166927,"NM_021201,NM_206939",MS4A7,633,-891.639,-891.728,1,yes
HC19068,ENSG00000156738,"NM_021950,NM_152866,NM_152867",MS4A1,546,-771.84,-773.2,1,yes
HC19069,ENSG00000166930,NM_023945,MS4A5,429,-591.155,-591.167,1,yes
HC19070,ENSG00000110077,NM_152852,MS4A6A,531,-762.283,-762.341,1,yes
HC19071,ENSG00000110079,NM_148975,MS4A4A,366,-498.635,-498.635,,yes
HC19072,ENSG00000071203,NM_017716,MS4A12,723,-1025.91,-1028.59,0.050791,yes
HC19073,ENSG00000166959,NM_031457,MS4A8B,732,-1026.53,-1027.37,1,yes
HC19074,ENSG00000136535,NM_006593,TBR1,195,-261.965,-261.965,,yes
HC19075,,NM_005805,PSMD14,819,-1083.52,-1083.52,,yes
HC19076,,,HSPC063,168,-220.81,-220.81,,yes
HC19077,ENSG00000120451,XM_374949,SNX19,1791,-2520.43,-2522.09,1,no
HC19078,ENSG00000166106,NM_139055,ADAMTS15,2061,-2787.19,-2798.66,1,yes
HC19079,ENSG00000134917,NM_007037,ADAMTS8,2109,-2854.62,-2859.26,1,yes
HC19080,ENSG00000149418,NM_021978,ST14,1272,-1701.26,-1708.25,1,yes
HC19081,ENSG00000137547,NM_014175,MRPL15,351,-478.663,-480.018,,yes
HC19082,ENSG00000164736,NM_022454,SOX17,327,-416.461,-416.686,,yes
HC19083,,,LYPLA1,30,,,,yes
HC19084,ENSG00000092531,NM_003825,SNAP23,630,-841.26,-841.491,,yes
HC19085,ENSG00000103966,NM_139265,EHD4,675,-865.872,-866.432,,yes
HC19086,ENSG00000166887,NM_015289,,1410,-1882.61,-1883.41,1,yes
HC19087,ENSG00000184935,XM_370858,,408,-560.419,-561.633,,no
HC19088,ENSG00000128881,,,522,-708.693,-711.376,,yes
HC19089,ENSG00000103978,NM_015497,DKFZP564G2022,1068,-1451.59,-1453.99,,yes
HC19090,ENSG00000103994,NM_022473,ZFP106,4812,-6597.62,-6598.64,1,yes
HC19091,ENSG00000137814,NM_018097,FLJ10460,594,-782.254,-782.254,,yes
HC19092,ENSG00000092529,NM_000070,CAPN3,1323,-1814.28,-1820.83,1,yes
HC19093,ENSG00000140326,NM_138477,,1629,-2229.38,-2231.16,1,yes
HC19094,,NM_002083,GPX2,87,,,,yes
HC19095,,NM_002101,GYPC,234,-318.698,-319.638,1,yes
HC19096,ENSG00000136717,NM_139343,BIN1,1431,-1858.93,-1861.95,,yes
HC19097,,XM_295058,,519,-741.322,-743.045,1,no
HC19098,ENSG00000155657,"NM_003319,NM_133378",TTN,31821,-42943.7,-42967.8,1,yes
HC19099,ENSG00000137507,NM_005512,GARP,1665,-2217.85,-2222.79,1,yes
HC19100,ENSG00000111110,XM_350880,,744,-1005.52,-1005.52,,no
HC19101,ENSG00000113088,NM_002104,GZMK,789,-1090.63,-1090.65,1,yes
HC19102,,,GZMA,714,-1003.27,-1003.45,0.410053,yes
HC19103,ENSG00000067248,NM_019030,,1263,-1680.98,-1681.27,1,yes
HC19104,,,SNAG1,339,-427.453,-429.312,,yes
HC19105,ENSG00000152669,,UNG2,144,,,,yes
HC19106,,,,1068,-1413.75,-1416.32,1,no
HC19107,,NM_001362,DIO3,378,-476.917,-482.321,1,yes
HC19108,ENSG00000166860,XM_374985,KIAA0352,1914,-2655.33,-2659.68,1,no
HC19109,ENSG00000140495,NM_000520,HEXA,621,-834.026,-834.026,,yes
HC19110,ENSG00000067225,NM_002654,PKM2,1464,-1967.19,-1968.41,1,yes
HC19111,ENSG00000140488,NM_052840,BRUNOL6,798,-1076.25,-1076.5,,yes
HC19112,ENSG00000140463,NM_033028,BBS4,1212,-1648.63,-1648.8,,yes
HC19113,,,LOC56965,1281,-1744.93,-1747.38,,yes
HC19114,,XM_113641,,525,-721.132,-722.242,,no
HC19115,ENSG00000120008,NM_018117,WDR11,2940,-4033.05,-4041.74,1,yes
HC19116,ENSG00000053371,NM_003689,AKR7A2,690,-943.583,-944.562,1,yes
HC19117,ENSG00000108669,,PSCD1,945,-1271.59,-1276.8,1,yes
HC19118,ENSG00000129654,NM_001454,FOXJ1,1002,-1303.11,-1306.53,1,yes
HC19119,ENSG00000100823,"NM_001641,NM_080648,NM_080649",APEX1,756,-1041.33,-1042.14,1,yes
HC19120,ENSG00000100831,NM_000270,NP,162,-228.464,-228.718,,yes
HC19121,ENSG00000092094,NM_017807,OSGEP,1002,-1349.53,-1349.53,,yes
HC19122,ENSG00000181784,"NM_002937,NM_194430,NM_194431",ANG,438,-592.137,-592.449,,yes
HC19123,ENSG00000181562,NM_006683,FAM12A,438,-590.613,-591.249,,yes
HC19124,ENSG00000169397,NM_002935,RNASE3,477,-670.989,-671.001,0.622217,yes
HC19125,,,,108,,,,no
HC19126,,,ADPRTL2,1392,-1903.99,-1911.35,1,yes
HC19127,ENSG00000165782,NM_144568,C14orf9,603,-838.987,-842.601,1,yes
HC19128,ENSG00000100814,"NM_021178,NM_182849,NM_182851,NM_182852",HEI10,816,-1134.36,-1136.3,1,yes
HC19129,ENSG00000136319,NM_138376,LOC91875,978,-1335.89,-1335.93,0.310842,yes
HC19130,ENSG00000159307,NM_173050,,1455,-1930.39,-1939.76,1,yes
HC19131,ENSG00000099910,"NM_153334,NM_182895",SCARF2,963,-1227.3,-1229.54,1,yes
HC19132,ENSG00000185214,NM_032775,FLJ14360,1434,-1893.46,-1899.31,1,yes
HC19133,,,USP18,768,-1079.01,-1079.12,1,no
HC19134,ENSG00000175142,NM_005787,NOT56L,720,-981.178,-981.263,1,yes
HC19135,ENSG00000161203,NM_004068,AP2M1,915,-1224.87,-1227.63,,yes
HC19136,ENSG00000090534,NM_000460,THPO,981,-1310.05,-1310.05,,yes
HC19137,,XM_291077,,1866,-2527.43,-2528.06,1,no
HC19138,ENSG00000128989,NM_006628,ARPP-19,228,-291.096,-291.096,,yes
HC19139,ENSG00000069966,NM_016194,GNB5,975,-1338.6,-1343.58,1,yes
HC19140,ENSG00000047346,XM_035527,,2697,-3654.72,-3658.32,1,no
HC19141,ENSG00000065559,NM_003010,MAP2K4,825,-1100.55,-1100.55,,yes
HC19142,ENSG00000125414,NM_017534,MYH2,2331,-3123.65,-3138.78,1,yes
HC19143,,NM_020973,GBA3,1119,-1530.57,-1530.74,1,yes
HC19144,,XM_291111,,2814,-3923.46,-3927.25,1,no
HC19145,ENSG00000164106,NM_007281,SCRG1,279,-384.623,-387.064,,yes
HC19146,ENSG00000164105,NM_003864,SAP30,318,-415.161,-415.161,,yes
HC19147,ENSG00000164104,NM_002129,HMGB2,477,-601.042,-602.193,,yes
HC19148,,,,2067,-2831.2,-2843.08,1,no
HC19149,ENSG00000146021,NM_017415,KLHL3,1356,-1841.82,-1849.44,1,yes
HC19150,ENSG00000150627,NM_170710,,582,-782.531,-782.808,,yes
HC19151,ENSG00000150628,NM_144644,TSARG2,126,,,,yes
HC19152,ENSG00000164122,NM_080874,ASB5,498,-679.605,-680.804,,yes
HC19153,ENSG00000150627,NM_170710,WDR17,396,-530.924,-531.219,,yes
HC19154,ENSG00000104732,NM_002603,PDE7A,993,-1339.9,-1341.24,,yes
HC19155,ENSG00000104442,NM_018120,FLJ10511,471,-639.206,-640.473,,yes
HC19156,ENSG00000152578,NM_000829,GRIA4,1416,-1945.25,-1948.13,1,yes
HC19157,ENSG00000152402,NM_000855,GUCY1A2,1524,-2101.17,-2101.76,1,yes
HC19158,ENSG00000182359,"NM_152433,NM_198439",FLJ30685,1800,-2413.4,-2416.59,1,yes
HC19159,ENSG00000170903,XM_370653,,1026,-1359.62,-1365.58,1,no
HC19160,ENSG00000132535,NM_001365,DLG4,1269,-1675.15,-1676.55,,yes
HC19161,ENSG00000108630,NM_001433,ERN1,2418,-3282.95,-3292.14,1,yes
HC19162,ENSG00000170962,"NM_025208,NM_033135",SCDGF-B,1083,-1500.21,-1506.45,1,yes
HC19163,ENSG00000005981,NM_016116,ASB4,1212,-1653.56,-1657.35,1,yes
HC19164,ENSG00000005421,NM_000446,PON1,894,-1224.87,-1225.9,1,yes
HC19165,ENSG00000158560,NM_004411,DNCI1,1071,-1441.88,-1441.88,,yes
HC19166,ENSG00000135625,NM_001965,EGR4,1245,-1646.69,-1648.95,1,yes
HC19167,ENSG00000135624,NM_006429,,825,-1117.41,-1122.5,1,yes
HC19168,,XM_039570,,1029,-1385.68,-1386.64,1,no
HC19169,ENSG00000135631,NM_015470,GAF1,1155,-1552.71,-1560.42,1,yes
HC19170,ENSG00000116127,NM_015120,ALMS1,513,-689.651,-690.018,,yes
HC19171,,XM_039548,,486,-658.325,-658.61,,no
HC19172,ENSG00000135617,NM_032319,C2orf7,177,-235.186,-235.186,,yes
HC19173,ENSG00000144040,NM_144579,GAF1,405,-552.039,-555.707,1,yes
HC19174,ENSG00000163145,NM_031911,C1QTNF7,792,-1069.16,-1069.16,,yes
HC19175,ENSG00000118564,NM_012161,FBXL5,1713,-2319.12,-2322.71,1,yes
HC19176,,,,3492,-4760.8,-4762.15,1,no
HC19177,ENSG00000059728,NM_002357,MAD,621,-829.075,-830.419,,yes
HC19178,ENSG00000163235,NM_003236,TGFA,471,-636.68,-639.26,,yes
HC19179,,,RPL39,117,,,,no
HC19180,ENSG00000087338,NM_178439,,459,-605.093,-606.444,,yes
HC19181,ENSG00000115998,NM_017880,FLJ20558,1449,-2017.88,-2022.48,1,yes
HC19182,ENSG00000124380,NM_006857,MAD,291,-394.665,-395.893,,yes
HC19183,ENSG00000142684,NM_015871,ZT86,279,-363.95,-365.48,,yes
HC19184,ENSG00000181704,NM_173834,,516,-701.215,-702.47,,yes
HC19185,ENSG00000013563,NM_006730,DNASE1L1,540,-747.038,-751.56,1,yes
HC19186,ENSG00000169738,NM_016286,DCXR,405,-546.151,-546.155,0.521229,yes
HC19187,ENSG00000151929,NM_004281,BAG3,1533,-2075.57,-2075.58,1,yes
HC19188,ENSG00000079625,NM_014937,INPP5F,2061,-2767.74,-2767.97,,yes
HC19189,ENSG00000107651,NM_007190,SEC23IP,2259,-3162.81,-3165.62,1,yes
HC19190,ENSG00000138155,NM_024834,FLJ13081,1557,-2140.69,-2144.59,1,yes
HC19191,ENSG00000148908,NM_002925,RGS10,438,-582.187,-582.521,,yes
HC19192,ENSG00000095015,XM_042066,,2601,-3547.36,-3547.86,1,no
HC19193,ENSG00000155542,NM_153706,MGC33648,534,-712.538,-712.849,,yes
HC19194,ENSG00000062194,NM_022913,,1011,-1355.45,-1356.17,1,yes
HC19195,ENSG00000187257,NM_198467,,1407,-1850.34,-1851.67,,yes
HC19196,,XM_373170,,48,,,,no
HC19197,ENSG00000135211,NM_032936,DC32,327,-442.238,-444.349,,yes
HC19198,ENSG00000006576,NM_020432,PHTF2,1425,-1932.17,-1933.22,1,yes
HC19199,ENSG00000006377,"XM_376652,XM_379892",DLX6,435,-583.49,-583.49,,no
HC19200,ENSG00000004864,NM_014251,SLC25A13,906,-1221.89,-1221.89,,yes
HC19201,ENSG00000105880,NM_005221,DLX5,486,-643.53,-643.53,,yes
HC19202,ENSG00000129028,NM_020147,LOC56906,102,,,,yes
HC19203,ENSG00000137821,NM_017691,FLJ20156,1647,-2246.1,-2254.49,1,yes
HC19204,ENSG00000137831,NM_018003,UACA,3591,-4669.45,-4669.72,1,yes
HC19205,ENSG00000166173,NM_018357,FLJ11196,822,-1129.21,-1136.07,1,yes
HC19206,ENSG00000163884,NM_014079,KLF15,840,-1168.09,-1170.32,1,yes
HC19207,,,MGC11349,1224,-1685.18,-1687.83,1,no
HC19208,,,,252,-345.63,-345.631,1,no
HC19209,ENSG00000088168,XM_051264,,333,-443.564,-443.564,,no
HC19210,ENSG00000159650,NM_144639,FLJ31300,771,-1040.49,-1045.62,1,yes
HC19211,ENSG00000114544,,FLJ20473,819,-1097.7,-1098.78,1,yes
HC19212,ENSG00000180697,NM_152533,MGC34728,123,,,,yes
HC19213,ENSG00000183735,NM_013254,TBK1,936,-1236.78,-1237.98,1,yes
HC19214,,NM_001821,CHML,1485,-2031.66,-2034.9,1,yes
HC19215,ENSG00000054277,NM_014322,CHML,756,-1039.54,-1044.24,1,yes
HC19216,ENSG00000091483,NM_000143,FH,1236,-1695.89,-1698.92,1,yes
HC19217,,,,297,-409.24,-411.557,1,no
HC19218,,NM_003679,KMO,1041,-1440.89,-1444.96,1,yes
HC19219,ENSG00000115221,NM_000888,ITGB6,2148,-2997.71,-3003.23,1,no
HC19220,ENSG00000164171,NM_002203,ITGA2,1992,-2692.64,-2694.78,1,yes
HC19221,,NM_176806,MOCS2,243,-333.133,-337.169,1,yes
HC19222,ENSG00000128849,NM_032866,FLJ14957,1335,-1738.99,-1739.33,1,yes
HC19223,ENSG00000140262,"NM_003205,NM_207036,NM_207037,NM_207038",TCF12,1257,-1719.72,-1719.74,1,yes
HC19224,ENSG00000137878,NM_015532,,798,-1094.92,-1094.93,1,yes
HC19225,ENSG00000140293,NM_152451,FLJ30973,783,-1041.23,-1041.24,1,yes
HC19226,,,,351,-489.056,-489.073,0.617302,no
HC19227,,,,213,-303.935,-303.939,1,no
HC19228,ENSG00000110660,NM_017515,HSNOV1,333,-455.651,-455.779,,yes
HC19229,ENSG00000110675,,,735,-999.408,-1001.92,,yes
HC19230,,,,651,-856.603,-857.163,1,yes
HC19231,,,,105,,,,yes
HC19232,ENSG00000169762,NM_153365,FLJ90013,603,-835.175,-835.578,1,yes
HC19233,ENSG00000121898,NM_198148,,1878,-2546.82,-2552.39,1,yes
HC19234,ENSG00000154478,NM_153442,GPR26,540,-664.271,-668.303,,yes
HC19235,ENSG00000163138,NM_145048,MGC29898,585,-794.697,-795.524,0.340649,yes
HC19236,ENSG00000104388,NM_002865,RAB2,435,-578.808,-578.808,,yes
HC19237,,,SIAHBP1,90,,,,yes
HC19238,,,ATE1,1065,-1473.29,-1474.02,1,yes
HC19239,,,FLJ20003,18,,,,no
HC19240,ENSG00000129562,NM_001344,DAD1,336,-447.875,-449.046,,yes
HC19241,ENSG00000108061,NM_007373,SHOC2,1293,-1769.76,-1777.32,1,yes
HC19242,ENSG00000116701,NM_000433,NCF2,1377,-1867.82,-1867.93,0.450789,yes
HC19243,ENSG00000135862,NM_002293,LAMC1,3123,-4332.1,-4337.52,1,yes
HC19244,ENSG00000058085,NM_018891,LAMC2,2409,-3325.77,-3326.03,1,yes
HC19245,ENSG00000157064,"NM_015039,NM_170706",NMNAT2,207,-271.812,-271.812,,yes
HC19246,ENSG00000144048,NM_003584,DUSP11,756,-1014.01,-1014.01,,yes
HC19247,ENSG00000114956,NM_080916,DGUOK,456,-623.644,-623.823,,yes
HC19248,ENSG00000065911,NM_006636,MTHFD2,849,-1158.53,-1160.39,1,yes
HC19249,ENSG00000115275,NM_006302,GCS1,1629,-2248.02,-2248.06,1,yes
HC19250,ENSG00000124356,"NM_006463,NM_201647,NM_213622",AMSH,777,-1076.94,-1077.79,1,yes
HC19251,,XM_371501,,3150,-4238.33,-4238.71,1,no
HC19252,ENSG00000114978,NM_018221,C2orf6,483,-647.683,-649.029,,yes
HC19253,ENSG00000163168,"NM_004082,NM_023019",DCTN1,2184,-2860.79,-2867.35,1,yes
HC19254,ENSG00000116127,NM_015120,ALMS1,3441,-4744.53,-4744.64,1,yes
HC19255,ENSG00000163017,NM_001615,ACTG2,819,-1092.95,-1097.36,1,yes
HC19256,,XM_371503,,837,-1104.65,-1107.32,,no
HC19257,ENSG00000005448,NM_032118,FLJ12953,414,-551.432,-551.432,,yes
HC19258,ENSG00000163170,XM_371502,,150,-198.901,-198.901,,yes
HC19259,ENSG00000181690,NM_002655,PLAG1,1446,-1958.15,-1958.15,,yes
HC19260,ENSG00000181732,,,918,-1267.14,-1267.41,1,no
HC19261,ENSG00000008988,NM_001023,RPS20,99,,,,no
HC19262,ENSG00000181195,NM_006211,PENK,660,-897.505,-898.403,1,yes
HC19263,ENSG00000170791,NM_024300,MGC2217,201,-273.581,-274.886,,yes
HC19264,,,DC-UbP,570,-772.561,-773.805,,yes
HC19265,ENSG00000072786,NM_005990,STK10,1419,-1810.61,-1814.65,1,yes
HC19266,ENSG00000101898,NM_014060,MCT-1,306,-389.098,-389.098,,yes
HC19267,ENSG00000101892,NM_012069,ATP1B4,522,-708.411,-708.745,,no
HC19268,ENSG00000182890,NM_012084,GLUD2,720,-987.359,-987.566,,no
HC19269,ENSG00000158290,NM_003588,CUL4B,2313,-3096.48,-3099.05,,yes
HC19270,ENSG00000151414,NM_133494,NEK7,501,-674.871,-676.231,,yes
HC19271,,,PHYH,600,-840.636,-843.783,1,yes
HC19272,ENSG00000086475,NM_012247,,852,-1170.29,-1176.53,1,yes
HC19273,ENSG00000065328,"NM_018518,NM_182751",MCM10,2418,-3395.99,-3402.03,1,yes
HC19274,ENSG00000151468,NM_031455,DKFZP761F241,639,-830.917,-832.694,1,yes
HC19275,,,LOC221044,141,,,,yes
HC19276,ENSG00000048162,NM_016391,HSPC111,504,-675.555,-679.546,1,yes
HC19277,ENSG00000170085,NM_198567,,759,-1040.11,-1040.95,1,yes
HC19278,,,KIAA1191,915,-1267,-1267.89,1,yes
